cw_num,product_area,person_id,st_created_date,work_order_accepted_date,worker_cost_center,complaince_activation_include_weekend,username,location_country,worker_access_type,ST_start_date,st_start_month,pw_reset_date,supplier_name,parent_supplier_name,is_saksham,location_region,location_type,hw_date_shipped,hw_estimated_delivery_date,hw_recd_dt,idv_date,idv_decision_date,idv_approval_date,idv_exception,gvc_invite_created_dt,remote_access_date_source,worker_type,cnt_class_dates,net_onboarding_date,delivery_update,transfer_flag,bulk_shipment,manager_pref_for_hw_shipping,manager_hierarchy_user_names,hiring_manager_username,has_equipment,worker_active_flag,onboard_date_v2,derived_onboarding_status,sla_end_to_end,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,is_chromebook,location_site,location_code,manual_onboarding_status,WorkerType,EquipmentAssigned,ChromebookAssigned,source_system,Equipment_Type,reattempt,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,gvc_act,eqp_gvc,comp_eqp_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation,last_refresh_date,access_flag,access_flag_unrestricted,access_flag_supplier,access_flag_pa,access_flag_supplier_pa,access_flag_manager
G-CW-00971431,Technical Infrastructure,1558683,2025-04-22,2025-04-22,650,1,cusifoh,United States,Equipment and Access,2025-04-24,2025-04-01,2025-04-24,GXO LOGISTICS WORLDWIDE LLC,GXO LOGISTICS WORLDWIDE LLC,NA,NORTH AMERICA,VOVO,null,null,2025-04-23,2025-05-08,2025-04-24,2025-04-24,FALSE,2025-04-24,Ganpati Group,Vendor,1,2025-04-24,2025-04-23,null,NO,null,aspiration|dgaska|mdemuth|stewartbt|moniquepicou|btreynor|tkurian|sundar,aspiration,null,Yes,2025-04-24,6. Onboarded,2,2,1,,US-REMOTE,US-REMOTE-GA,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,2,2,2,1,1,1,2,2,1,0,0,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00970891,Cloud,1558306,2025-04-22,2025-04-22,1R1,1,yaggadiv,India,Equipment and Access,2025-04-24,2025-04-01,2025-04-24,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NA,APAC,VOVO,null,null,2025-04-23,2025-05-08,2025-04-24,2025-04-24,FALSE,2025-04-24,Ganpati Group,Vendor,1,2025-04-24,2025-04-23,null,NO,null,kunalmanek|dashmore|kmrichardson|ivaturi|anasosman|francisdesouza|tkurian|sundar,kunalmanek,null,Yes,2025-04-24,6. Onboarded,2,2,1,,IN-REMOTE,IN-REMOTE-GEN,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,2,2,2,1,1,1,2,2,1,0,0,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00966390,Marketing,562618,2025-04-11,2025-04-11,0OE,5,wardw,United States,Equipment and Access,2025-04-16,2025-04-01,2025-04-21,WHERE THE BUFFALO ROAM,WHERE THE BUFFALO ROAM,NA,NORTH AMERICA,VOVO,null,null,2025-04-16,2025-05-03,2025-04-19,2025-04-18,FALSE,2025-04-20,Ganpati Group,Vendor,1,2025-04-21,2025-04-16,null,NO,null,nicolecullop|kmorrison|unawalsh|alofton|nickdrake|lorraine|sundar,nicolecullop,NO,Yes,2025-04-21,6. Onboarded,10,6,3,,US-REMOTE,US-REMOTE-CA,null,Vendor,Yes,FALSE,all_aboard,Non-Saksham,1,10,10,5,1,4,5,6,3,3,3,2,1,1745910103306887,UA,Yes,No,No,No,No
G-CW-00966635,T&S,1554545,2025-04-14,2025-04-14,6S8,6,zmarjan,Portugal,Equipment and Access,2025-04-16,2025-04-01,2025-04-22,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NA,EMEA,VOVO,null,null,2025-04-16,2025-05-05,2025-04-21,2025-04-21,FALSE,2025-04-21,null,Vendor,1,2025-04-22,2025-04-16,null,NO,null,vidhyaa|eroussellier|annathomp|kcourington|kwalker|sundar,vidhyaa,NO,Yes,2025-04-22,6. Onboarded,8,6,4,,PT-REMOTE,PT-REMOTE-GEN,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,8,8,2,1,5,2,6,2,2,4,3,1,1745910103306887,UA,Yes,No,No,No,No
G-CW-00964621,Technical Infrastructure,1551957,2025-04-08,2025-04-08,650,11,irwinc,United States,Equipment and Access,2025-04-11,2025-04-01,2025-04-22,GXO LOGISTICS WORLDWIDE LLC,GXO LOGISTICS WORLDWIDE LLC,NA,NORTH AMERICA,VOVO,null,null,2025-04-10,2025-04-30,2025-04-16,2025-04-10,FALSE,2025-04-22,Ganpati Group,Vendor,1,2025-04-22,2025-04-10,null,NO,null,jacqg|samespada|mdemuth|stewartbt|moniquepicou|btreynor|tkurian|sundar,jacqg,NO,Yes,2025-04-22,6. Onboarded,14,10,7,,US-REMOTE,US-REMOTE-NE,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,14,14,3,1,12,2,10,3,2,7,0,7,1745910103306887,UA,Yes,No,No,No,No
G-CW-00965933,Cloud,1553512,2025-04-10,2025-04-10,09V,9,pattelaj,India,Access Only,2025-04-14,2025-04-01,2025-04-23,HCL TECHNOLOGIES LTD,HCL TECHNOLOGIES LTD.,NA,APAC,VOVO,null,null,2025-04-22,2025-04-30,2025-04-16,2025-04-16,FALSE,2025-04-23,Ganpati Group,Vendor,1,2025-04-23,2025-04-22,null,NO,null,bhagatram|mingtan|mythil|dlenoski|aamer|vahdat|tkurian|sundar,bhagatram,YES,Yes,2025-04-23,6. Onboarded,13,9,7,,IN-REMOTE,IN-REMOTE-GEN,null,Vendor,No,FALSE,all_aboard,Saksham,1,13,13,4,1,1,12,9,2,8,7,2,5,1745910103306887,UA,Yes,No,No,No,No
G-CW-00969470,Cloud,1556953,2025-04-18,2025-04-18,1R1,1,karrekiran,India,Equipment and Access,2025-04-21,2025-04-01,2025-04-21,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NA,APAC,VOVO,null,null,2025-04-21,2025-05-05,2025-04-21,2025-04-21,FALSE,2025-04-21,Ganpati Group,Vendor,1,2025-04-21,2025-04-21,null,NO,null,kunalmanek|dashmore|kmrichardson|ivaturi|anasosman|francisdesouza|tkurian|sundar,kunalmanek,null,Yes,2025-04-21,6. Onboarded,3,1,1,,IN-REMOTE,IN-REMOTE-GEN,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,3,3,3,1,0,3,1,1,1,0,0,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00967988,Technical Infrastructure,1551004,2025-04-15,2025-04-15,613,3,thakarek,India,Equipment and Access,2025-04-18,2025-04-01,2025-04-21,WNS (HOLDINGS) LIMITED,WNS (HOLDINGS) LIMITED,NA,APAC,GOVO,null,null,2025-04-18,2025-05-05,2025-04-21,2025-04-20,FALSE,2025-04-22,Ganpati Group,Vendor,1,2025-04-21,2025-04-18,null,NO,null,devanjan|mgayathric|petelehmann|mgrabski|moniquepicou|btreynor|tkurian|sundar,devanjan,null,Yes,2025-04-21,6. Onboarded,6,4,1,,IN-BLR,IN-BLR-BCPL,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,6,6,3,-1,4,3,4,3,3,1,1,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00966158,Technical Infrastructure,1553743,2025-04-11,2025-04-11,650,7,matissp,Netherlands,Access Only,2025-04-15,2025-04-01,2025-04-22,SYNCREON GLOBAL HOLDINGS LIMITED,SYNCREON GLOBAL HOLDINGS LIMITED,NA,EMEA,Special Use,null,null,2025-04-15,2025-05-06,2025-04-22,2025-04-22,FALSE,2025-04-22,Ganpati Group,Vendor,1,2025-04-22,2025-04-15,null,NO,null,meetjain|tecles|asafshachar|stewartbt|moniquepicou|btreynor|tkurian|sundar,meetjain,YES,Yes,2025-04-22,6. Onboarded,11,7,5,,NL-AMS,NL-AMS-F400,null,Vendor,No,FALSE,all_aboard,Saksham,1,11,11,4,1,7,4,7,2,2,5,5,0,1745910103306887,UA,Yes,No,No,No,No
G-CW-00966672,T&S,1554255,2025-04-14,2025-04-14,6S8,7,lbieneck,Portugal,Equipment and Access,2025-04-15,2025-04-01,2025-04-22,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NA,EMEA,VOVO,null,null,2025-04-15,2025-05-05,2025-04-21,2025-04-21,FALSE,2025-04-21,null,Vendor,1,2025-04-22,2025-04-15,null,NO,null,vidhyaa|eroussellier|annathomp|kcourington|kwalker|sundar,vidhyaa,NO,Yes,2025-04-22,6. Onboarded,8,6,5,,PT-REMOTE,PT-REMOTE-GEN,null,Vendor,Yes,TRUE,all_aboard,Saksham,1,8,8,1,1,6,1,6,1,1,5,4,1,1745910103306887,UA,Yes,No,No,No,No
