product_area,st_created_date,work_order_accepted_date,location_country,worker_access_type,ST_start_date,st_start_month,pw_reset_date,supplier_name,location_region,hw_date_shipped,hw_estimated_delivery_date,hw_recd_dt,idv_date,idv_decision_date,idv_approval_date,idv_exception,gvc_invite_created_dt,worker_type,cnt_class_dates,net_onboarding_date,delivery_update,transfer_flag,bulk_shipment,manager_pref_for_hw_shipping,has_equipment,worker_active_flag,onboard_date_v2,sla_end_to_end,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,gvc_act,eqp_gvc,comp_eqp_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
YouTube,2025-04-25,2025-04-25,India,Access Only,2025-04-29,2025-04-01,2025-04-29,CONCENTRIX,APAC,null,2025-05-01,2025-04-28,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,4,2,1,4,4,4,1,1,3,2,2,1,0,0,0
Cloud,2025-04-10,2025-04-10,Mexico,Access Only,2025-04-17,2025-04-01,2025-04-29,TATA GROUP,LATAM,null,null,2025-04-23,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-29,2025-04-23,null,NO,null,null,Yes,2025-04-29,19,13,8,19,19,7,1,5,13,13,5,9,8,7,1
REWS,2025-04-23,2025-04-23,United States,Badge Only,2025-04-28,2025-04-01,null,ELECTROSONIC LIMITED,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
YouTube,2025-04-23,2025-04-23,India,Access Only,2025-04-25,2025-04-01,2025-04-28,GENPACT LIMITED,APAC,null,null,2025-04-23,2025-05-09,2025-04-25,2025-04-24,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-23,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,2,1,5,1,3,2,1,1,0,1
Technical Infrastructure,2025-04-28,2025-04-28,United States,Access Only,2025-04-30,2025-04-01,2025-04-30,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,null,null,2025-04-28,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-28,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,1,2,1,2,2,1,0,0,0
Technical Infrastructure,2025-04-16,2025-04-16,United States,Equipment and Access,2025-04-18,2025-04-01,2025-04-29,IRON SYSTEMS INC,NORTH AMERICA,2022-08-05,2022-08-06,2025-04-18,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-18,null,NO,null,null,Yes,2025-04-29,13,9,7,13,13,2,1,11,2,9,2,2,7,7,0
Cloud,2025-04-16,2025-04-16,Philippines,Equipment and Access,2025-04-18,2025-04-01,2025-04-30,HCL TECHNOLOGIES LTD,APAC,null,null,2025-04-18,2025-05-14,2025-04-30,2025-04-18,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-18,null,NO,null,null,Yes,2025-04-30,14,10,8,14,14,2,1,12,2,10,2,2,8,0,8
Platforms + Ecosystems,2025-04-27,2025-04-27,United States,Equipment and Access,2025-05-01,2025-05-01,null,WIPRO LIMITED,NORTH AMERICA,null,null,null,2025-05-18,2025-05-04,2025-05-04,FALSE,null,Vendor,1,2025-05-01,null,TRANSFER-Starters list,NO,null,NO,Yes,2025-05-01,4,3,1,4,4,4,null,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-22,2025-04-22,United States,Equipment and Access,2025-04-25,2025-04-01,2025-04-29,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,2025-04-25,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-28,Vendor,1,2025-04-29,2025-04-25,null,NO,null,null,Yes,2025-04-29,7,5,2,7,7,3,1,3,3,5,3,3,2,0,2
gTech,2025-04-21,2025-04-21,Brazil,Access Only,2025-04-24,2025-04-01,2025-04-29,CONCENTRIX,LATAM,null,2025-04-26,2025-04-23,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-23,null,NO,null,null,Yes,2025-04-29,8,6,3,8,8,3,1,6,2,6,3,2,3,3,0
