product_area,location_country,supplier_name,location_region,onboard_date_v2,sla_end_to_end_exclude_weekend1,wo_adv_std_include_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
Technical Infrastructure,Thailand,WOOD INTERNATIONAL LIMITED,APAC,2025-04-28,3,2,1,0,1
Technical Infrastructure,Australia,MSS SECURITY PTY LTD,APAC,2025-04-22,5,1,4,0,4
REWS,India,COMPASS GROUP PLC,APAC,2025-04-25,2,2,0,0,0
REWS,United States,ISS A/S,NORTH AMERICA,2025-04-29,3,5,0,0,0
Devices & Services,United States,ARCLIGHT WIRELESS INC,NORTH AMERICA,2025-04-25,7,6,3,1,2
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-28,4,6,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
gTech,Poland,TELEPERFORMANCE SE,EMEA,2025-04-28,3,5,0,0,0
gCS,India,REGALIX INC,APAC,2025-04-24,3,3,0,0,0
POps,Mexico,PWC,LATAM,2025-04-23,9,5,6,0,6
Technical Infrastructure,United States,VISION TECHNOLOGIES INC.,NORTH AMERICA,2025-04-30,4,6,0,0,0
POps,India,RANDSTAD NV,APAC,2025-04-29,10,1,9,0,9
Devices & Services,India,TECH MAHINDRA LIMITED,APAC,2025-04-28,9,1,8,0,8
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-28,9,3,6,5,1
T&S,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-23,2,1,1,0,1
REWS,Poland,COMPASS GROUP PLC,EMEA,2025-04-24,14,14,4,1,3
Access,United States,PEARCE SERVICES LLC,NORTH AMERICA,2025-04-23,3,4,1,0,1
T&S,India,WIPRO LIMITED,APAC,2025-04-23,1,1,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-22,3,4,1,1,0
Cloud,Mexico,TATA GROUP,LATAM,2025-04-29,13,7,8,7,1
Cloud,El Salvador,TELUS,LATAM,2025-04-30,2,2,0,0,0
T&S,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-23,2,1,1,0,1
Waymo,Philippines,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-21,5,2,3,3,0
T&S,Costa Rica,TELEPERFORMANCE SE,LATAM,2025-04-22,8,5,5,4,1
gTech,India,TECH MAHINDRA LIMITED,APAC,2025-04-27,3,2,1,1,0
Cloud,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-25,3,3,0,0,0
Geo,Poland,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-04-22,5,6,1,1,0
YouTube,India,CONCENTRIX,APAC,2025-04-24,2,1,1,0,1
Ads & Commerce,India,GLOBALLOGIC INC,APAC,2025-05-02,4,3,1,1,0
