product_area,location_country,pw_reset_date,supplier_name,location_region,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
Technical Infrastructure,United States,2025-05-01,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,7,5,9,9,2,7,2,1,5,4,1
REWS,United States,2025-04-28,"INTER-CON SECURITY SYSTEMS, INC.",NORTH AMERICA,3,1,5,5,5,3,3,3,1,0,0
Cloud,Mexico,2025-05-02,TATA GROUP,LATAM,4,1,4,4,3,4,3,1,1,1,0
Technical Infrastructure,United States,null,WHITEWAY BUILDING SERVICE INC,NORTH AMERICA,3,1,5,5,5,3,3,null,1,0,0
T&S,Philippines,2025-05-02,ACCENTURE PLC,APAC,3,1,3,3,3,3,3,3,1,0,0
REWS,null,null,CBRE GROUP INC,EMEA,3,1,3,3,3,3,3,null,1,0,0
Cloud,Philippines,2025-04-28,ACCENTURE PLC,APAC,3,1,5,5,2,3,2,2,1,1,0
Cloud,El Salvador,2025-04-30,TELUS,LATAM,4,1,6,6,6,4,4,2,1,0,0
Waymo,India,2025-05-01,WIPRO LIMITED,APAC,7,6,9,9,1,7,1,6,6,0,6
REWS,United States,2025-05-02,SYSTEM ONE HOLDINGS LLC DBA TEAMPEOPLE,NORTH AMERICA,5,2,7,7,5,5,3,3,2,2,0
gTech,United States,2025-04-30,VACO,NORTH AMERICA,5,3,7,7,2,5,2,2,3,0,3
T&S,United States,2025-04-29,PYRAMID CONSULTING INC.,NORTH AMERICA,11,7,19,19,8,11,4,null,7,7,0
Technical Infrastructure,United States,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2,1,2,2,2,2,2,null,1,0,0
Waymo,United States,2025-05-01,TRANSDEV,NORTH AMERICA,7,5,9,9,2,7,2,1,5,2,3
YouTube,India,2025-04-28,CONCENTRIX,APAC,4,2,6,6,2,4,2,1,2,2,0
Technical Infrastructure,null,null,INDIGO TELECOM GROUP LTD,LATAM,3,1,3,3,3,3,3,null,1,0,0
REWS,United States,2025-05-01,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,10,4,14,14,8,10,6,5,4,0,4
